==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-master1 ====
I1115 00:28:18.242098       1 serving.go:348] Generated self-signed cert in-memory
I1115 00:28:18.854925       1 controllermanager.go:178] Version: v1.25.2
I1115 00:28:18.854951       1 controllermanager.go:180] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
I1115 00:28:18.856054       1 secure_serving.go:210] Serving securely on 127.0.0.1:10257
I1115 00:28:18.857617       1 leaderelection.go:248] attempting to acquire leader lease kube-system/kube-controller-manager...
I1115 00:28:18.859717       1 dynamic_cafile_content.go:157] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I1115 00:28:18.859799       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
I1115 00:28:18.862042       1 dynamic_cafile_content.go:157] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
E1115 00:28:22.283932       1 leaderelection.go:330] error retrieving resource lock kube-system/kube-controller-manager: leases.coordination.k8s.io "kube-controller-manager" is forbidden: User "system:kube-controller-manager" cannot get resource "leases" in API group "coordination.k8s.io" in the namespace "kube-system"
I1115 00:28:44.054455       1 leaderelection.go:258] successfully acquired lease kube-system/kube-controller-manager
I1115 00:28:44.058859       1 event.go:294] "Event occurred" object="kube-system/kube-controller-manager" fieldPath="" kind="Lease" apiVersion="coordination.k8s.io/v1" type="Normal" reason="LeaderElection" message="master1_cdc11ecb-44c7-420d-bf09-0c082cbc310f became leader"
E1115 00:28:55.075693       1 controllermanager.go:475] unable to get all supported resources from server: unable to retrieve the complete list of server APIs: custom.metrics.k8s.io/v1beta1: the server is currently unable to handle the request, custom.metrics.k8s.io/v1beta2: the server is currently unable to handle the request, external.metrics.k8s.io/v1beta1: the server is currently unable to handle the request, metrics.k8s.io/v1beta1: the server is currently unable to handle the request
I1115 00:28:55.078185       1 shared_informer.go:255] Waiting for caches to sync for tokens
I1115 00:28:55.083361       1 controllermanager.go:602] Started "ttl"
I1115 00:28:55.085604       1 ttl_controller.go:120] Starting TTL controller
I1115 00:28:55.085618       1 shared_informer.go:255] Waiting for caches to sync for TTL
I1115 00:28:55.086296       1 controllermanager.go:602] Started "clusterrole-aggregation"
I1115 00:28:55.086406       1 clusterroleaggregation_controller.go:194] Starting ClusterRoleAggregator
I1115 00:28:55.086415       1 shared_informer.go:255] Waiting for caches to sync for ClusterRoleAggregator
I1115 00:28:55.087935       1 controllermanager.go:602] Started "ttl-after-finished"
I1115 00:28:55.088147       1 ttlafterfinished_controller.go:109] Starting TTL after finished controller
I1115 00:28:55.088159       1 shared_informer.go:255] Waiting for caches to sync for TTL after finished
I1115 00:28:55.089549       1 controllermanager.go:602] Started "podgc"
I1115 00:28:55.089659       1 gc_controller.go:99] Starting GC controller
I1115 00:28:55.089667       1 shared_informer.go:255] Waiting for caches to sync for GC
I1115 00:28:55.091766       1 controllermanager.go:602] Started "deployment"
I1115 00:28:55.091964       1 deployment_controller.go:160] "Starting controller" controller="deployment"
I1115 00:28:55.091978       1 shared_informer.go:255] Waiting for caches to sync for deployment
I1115 00:28:55.093937       1 controllermanager.go:602] Started "statefulset"
I1115 00:28:55.094852       1 stateful_set.go:152] Starting stateful set controller
I1115 00:28:55.094873       1 shared_informer.go:255] Waiting for caches to sync for stateful set
I1115 00:28:55.099079       1 controllermanager.go:602] Started "persistentvolume-binder"
I1115 00:28:55.101104       1 pv_controller_base.go:318] Starting persistent volume controller
I1115 00:28:55.101129       1 shared_informer.go:255] Waiting for caches to sync for persistent volume
I1115 00:28:55.101520       1 controllermanager.go:602] Started "endpointslice"
